C,gamma,fitness
0.03125,3.0517578125e-05,0.47564871719832214
0.03125,6.103515625e-05,0.47564871719832214
0.03125,0.0001220703125,0.47564871719832214
0.03125,0.000244140625,0.47564871719832214
0.03125,0.00048828125,0.47564871719832214
0.03125,0.0009765625,0.47564871719832214
0.03125,0.001953125,0.47564871719832214
0.03125,0.00390625,0.47564871719832214
0.03125,0.0078125,0.47564871719832214
0.03125,0.015625,0.47564871719832214
0.03125,0.03125,0.47564871719832214
0.03125,0.0625,0.47564871719832214
0.03125,0.125,0.47564871719832214
0.03125,0.25,0.47564871719832214
0.03125,0.5,0.47564871719832214
0.03125,1.0,0.47564871719832214
0.03125,2.0,0.47564871719832214
0.03125,4.0,0.47564871719832214
0.03125,8.0,0.47564871719832214
0.0625,3.0517578125e-05,0.47564871719832214
0.0625,6.103515625e-05,0.47564871719832214
0.0625,0.0001220703125,0.47564871719832214
0.0625,0.000244140625,0.47564871719832214
0.0625,0.00048828125,0.47564871719832214
0.0625,0.0009765625,0.47564871719832214
0.0625,0.001953125,0.47564871719832214
0.0625,0.00390625,0.47564871719832214
0.0625,0.0078125,0.47564871719832214
0.0625,0.015625,0.5019597391195284
0.0625,0.03125,0.5277114079462631
0.0625,0.0625,0.5000944158758031
0.0625,0.125,0.47564871719832214
0.0625,0.25,0.47564871719832214
0.0625,0.5,0.47564871719832214
0.0625,1.0,0.47564871719832214
0.0625,2.0,0.47564871719832214
0.0625,4.0,0.47564871719832214
0.0625,8.0,0.47564871719832214
0.125,3.0517578125e-05,0.47564871719832214
0.125,6.103515625e-05,0.47564871719832214
0.125,0.0001220703125,0.47564871719832214
0.125,0.000244140625,0.47564871719832214
0.125,0.00048828125,0.47564871719832214
0.125,0.0009765625,0.47564871719832214
0.125,0.001953125,0.47564871719832214
0.125,0.00390625,0.4778878715665371
0.125,0.0078125,0.5292029000654989
0.125,0.015625,0.5719351422160905
0.125,0.03125,0.6008575818387056
0.125,0.0625,0.5846243223657622
0.125,0.125,0.4860985687807461
0.125,0.25,0.47564871719832214
0.125,0.5,0.47564871719832214
0.125,1.0,0.47564871719832214
0.125,2.0,0.47564871719832214
0.125,4.0,0.47564871719832214
0.125,8.0,0.47564871719832214
0.25,3.0517578125e-05,0.47564871719832214
0.25,6.103515625e-05,0.47564871719832214
0.25,0.0001220703125,0.47564871719832214
0.25,0.000244140625,0.47564871719832214
0.25,0.00048828125,0.47564871719832214
0.25,0.0009765625,0.47564871719832214
0.25,0.001953125,0.4788210557854983
0.25,0.00390625,0.5418920802151705
0.25,0.0078125,0.5932083281073623
0.25,0.015625,0.6350065150438284
0.25,0.03125,0.6588916412336079
0.25,0.0625,0.6603831333528436
0.25,0.125,0.5590590465041737
0.25,0.25,0.47564871719832214
0.25,0.5,0.47564871719832214
0.25,1.0,0.47564871719832214
0.25,2.0,0.47564871719832214
0.25,4.0,0.47564871719832214
0.25,8.0,0.47564871719832214
0.5,3.0517578125e-05,0.47564871719832214
0.5,6.103515625e-05,0.47564871719832214
0.5,0.0001220703125,0.47564871719832214
0.5,0.000244140625,0.47564871719832214
0.5,0.00048828125,0.47564871719832214
0.5,0.0009765625,0.4808736429895341
0.5,0.001953125,0.5452513343645917
0.5,0.00390625,0.5995528310826819
0.5,0.0078125,0.6467628593726047
0.5,0.015625,0.6745648508159482
0.5,0.03125,0.6991962456624441
0.5,0.0625,0.705728012598074
0.5,0.125,0.6469478587454882
0.5,0.25,0.4805006828602087
0.5,0.5,0.47564871719832214
0.5,1.0,0.47564871719832214
0.5,2.0,0.47564871719832214
0.5,4.0,0.47564871719832214
0.5,8.0,0.47564871719832214
1.0,3.0517578125e-05,0.47564871719832214
1.0,6.103515625e-05,0.47564871719832214
1.0,0.0001220703125,0.47564871719832214
1.0,0.000244140625,0.47564871719832214
1.0,0.00048828125,0.48162008584528343
1.0,0.0009765625,0.5480500160263111
1.0,0.001953125,0.6023515127444014
1.0,0.00390625,0.6478824365567123
1.0,0.0078125,0.6786698510249871
1.0,0.015625,0.7087120420307427
1.0,0.03125,0.7329708251459788
1.0,0.0625,0.747153065206182
1.0,0.125,0.7172953509762113
1.0,0.25,0.5239781484733197
1.0,0.5,0.47564871719832214
1.0,1.0,0.47564871719832214
1.0,2.0,0.47564871719832214
1.0,4.0,0.47564871719832214
1.0,8.0,0.47564871719832214
2.0,3.0517578125e-05,0.47564871719832214
2.0,6.103515625e-05,0.47564871719832214
2.0,0.0001220703125,0.47564871719832214
2.0,0.000244140625,0.48217978733782074
2.0,0.00048828125,0.5493561603745976
2.0,0.0009765625,0.6042173585852251
2.0,0.001953125,0.6488150981785749
2.0,0.00390625,0.6782968908956617
2.0,0.0078125,0.7064755006480203
2.0,0.015625,0.7325985618127848
2.0,0.03125,0.7576025683905403
2.0,0.0625,0.7715978928884987
2.0,0.125,0.7381929637526653
2.0,0.25,0.5430114832002453
2.0,0.5,0.47564871719832214
2.0,1.0,0.47564871719832214
2.0,2.0,0.47564871719832214
2.0,4.0,0.47564871719832214
2.0,8.0,0.47564871719832214
4.0,3.0517578125e-05,0.47564871719832214
4.0,6.103515625e-05,0.47564871719832214
4.0,0.0001220703125,0.48217978733782074
4.0,0.000244140625,0.5501022548322811
4.0,0.00048828125,0.6057102442967237
4.0,0.0009765625,0.6488150981785749
4.0,0.001953125,0.6775506222389454
4.0,0.00390625,0.7031160722995665
4.0,0.0078125,0.7270001532951489
4.0,0.015625,0.7562962498432209
4.0,0.03125,0.7745827933163315
4.0,0.0625,0.7742117493763674
4.0,0.125,0.7385666206781221
4.0,0.25,0.5431980503644244
4.0,0.5,0.47564871719832214
4.0,1.0,0.47564871719832214
4.0,2.0,0.47564871719832214
4.0,4.0,0.47564871719832214
4.0,8.0,0.47564871719832214
8.0,3.0517578125e-05,0.47564871719832214
8.0,6.103515625e-05,0.48217978733782074
8.0,0.0001220703125,0.5502889961954931
8.0,0.000244140625,0.6060835528241146
8.0,0.00048828125,0.6484417896511838
8.0,0.0009765625,0.6771773137115542
8.0,0.001953125,0.6997578633443429
8.0,0.00390625,0.7208420432849757
8.0,0.0078125,0.7430475424000446
8.0,0.015625,0.770478489903424
8.0,0.03125,0.7715985896846301
8.0,0.0625,0.7715989380826958
8.0,0.125,0.7385666206781221
8.0,0.25,0.5431980503644244
8.0,0.5,0.47564871719832214
8.0,1.0,0.47564871719832214
8.0,2.0,0.47564871719832214
8.0,4.0,0.47564871719832214
8.0,8.0,0.47564871719832214
16.0,3.0517578125e-05,0.48217978733782074
16.0,6.103515625e-05,0.5504755633596723
16.0,0.0001220703125,0.6060835528241146
16.0,0.000244140625,0.6484417896511838
16.0,0.00048828125,0.6768036567860976
16.0,0.0009765625,0.6973316192148502
16.0,0.001953125,0.7131919185584682
16.0,0.00390625,0.7331580891062893
16.0,0.0078125,0.7604022952464567
16.0,0.015625,0.7710380171969285
16.0,0.03125,0.7674942862717227
16.0,0.0625,0.7714123709185167
16.0,0.125,0.7385666206781221
16.0,0.25,0.5431980503644244
16.0,0.5,0.47564871719832214
16.0,1.0,0.47564871719832214
16.0,2.0,0.47564871719832214
16.0,4.0,0.47564871719832214
16.0,8.0,0.47564871719832214
32.0,3.0517578125e-05,0.5504755633596723
32.0,6.103515625e-05,0.6060835528241146
32.0,0.0001220703125,0.6486283568153629
32.0,0.000244140625,0.6766172638209512
32.0,0.00048828125,0.6963986091949217
32.0,0.0009765625,0.7085268684588264
32.0,0.001953125,0.7260678400713518
32.0,0.00390625,0.7486462993157461
32.0,0.0078125,0.7656270468386359
32.0,0.015625,0.7674944604707555
32.0,0.03125,0.7684274704906838
32.0,0.0625,0.7714123709185167
32.0,0.125,0.7385666206781221
32.0,0.25,0.5431980503644244
32.0,0.5,0.47564871719832214
32.0,1.0,0.47564871719832214
32.0,2.0,0.47564871719832214
32.0,4.0,0.47564871719832214
32.0,8.0,0.47564871719832214
64.0,3.0517578125e-05,0.6062701199882938
